POSTCODE,LON,LAT
00554,-47.9499283,-16.3884867
00555,-48.1895317,-16.655425
00556,-35.2303283,-8.14767
00558,-46.7296805,-23.5740412
00559,-47.95869,-16.3555
00564,-46.7403809,-23.6152742
00568,-46.7002272,-23.6055421
00569,-38.3793767,-8.09021
00571,-46.742494050000005,-23.613375750000003
00572,-46.7334112,-23.6208085
00574,-46.7408352,-23.6145341
00575,-36.6141308,-9.46228415
00576,-36.6514867,-9.4851383
00579,-46.7697014,-23.6381936
00580,-38.1465775,-6.87050165
00584,-46.740087,-23.643252
00587,-46.7905601,-23.6896021
00590,-36.43894915,-8.91371
00600,-38.6124599,-3.787686
00605,-46.9033374,-23.4042808
00606,-48.149745,-7.214375
00607,-48.1631533,-7.2171467
00616,-38.7628375,-3.73978665
00630,-39.34663835,-7.18548665
00640,-42.7639801,-5.104968
00650,-44.3390213,-2.738119
00653,-46.8864555,-23.4122376
00654,-46.98829585,-23.44871665
00656,-43.3397433,-5.0914367
00658,-49.7071267,-5.4741067
00659,-47.50026915,-5.330007500000001
00660,-48.4288295,-1.3741365
00665,-46.9175492,-23.5544294
00678,-48.1216933,-7.2372383
00680,-55.18123415,-2.5646533
00681,-54.5837933,-2.6438967
00683,-52.184375,-3.5460183
00684,-64.5414783,-9.2985117
00685,-49.94420585,-5.74934415
00687,-47.7389067,-1.363465
00689,-51.0596876,0.094616
00690,-60.0227536,-3.100642
00691,-59.8830797,-3.076626
00693,-60.984915,3.2107317
00699,-67.8245864,-9.996018
00700,-46.55767,-23.467935
00707,-48.20604,-7.2243325
00713,-46.5128081,-24.0314043
00717,-46.4326933,-23.4146717
00720,-46.39715,-23.4726317
